"City","Slug","Action","Src","Folder","File","NewName","Caption"
"bangkok","al-hussain","dup-skip","D:\Google Photos\Food 2019\Thai19-0287.jpg","Food 2019","Thai19-0287.jpg","","Bangkok - Al Hussain"
"bangkok","zabb-one","import","D:\Google Photos\Food 2016\Bkk16-0074.jpg","Food 2016","Bkk16-0074.jpg","zabb-one-4.jpg","Bangkok - Zabb One"
"bangkok","zabb-one","dup-skip","D:\Google Photos\Food 2016\Bkk16-0075.jpg","Food 2016","Bkk16-0075.jpg","","Bangkok - Zabb One"
"bangkok","zabb-one","dup-skip","D:\Google Photos\Food 2016\Bkk16-0076.jpg","Food 2016","Bkk16-0076.jpg","","Bangkok - Zabb One"
"chiang-mai","woo-cafe","dup-skip","D:\Google Photos\Food 2017\Thai17-0198.jpg","Food 2017","Thai17-0198.jpg","","Chiang Mai - Woo Café"
"chiang-mai","deck-1","dup-skip","D:\Google Photos\Food 2017\Thai17-0201.jpg","Food 2017","Thai17-0201.jpg","","Chiang Mai - Deck 1"
"chiang-mai","deck-1","dup-skip","D:\Google Photos\Food 2017\Thai17-0202.jpg","Food 2017","Thai17-0202.jpg","","Chiang Mai - Deck 1"
"chiang-mai","deck-1","dup-skip","D:\Google Photos\Food 2017\Thai17-0203.jpg","Food 2017","Thai17-0203.jpg","","Chiang Mai - Deck 1"
"chiang-mai","deck-1","dup-skip","D:\Google Photos\Food 2017\Thai17-0204.jpg","Food 2017","Thai17-0204.jpg","","Chiang Mai - Deck 1"
"chiang-mai","deck-1","import","D:\Google Photos\Food 2017\Thai17-0205.jpg","Food 2017","Thai17-0205.jpg","deck-1-5.jpg","Chiang Mai - Deck 1"
"chiang-mai","deck-1","import","D:\Google Photos\Food 2017\Thai17-0206.jpg","Food 2017","Thai17-0206.jpg","deck-1-6.jpg","Chiang Mai - Deck 1"
"bangkok","badmotel","dup-skip","D:\Google Photos\Food 2017\Thai17-0245.jpg","Food 2017","Thai17-0245.jpg","","Bangkok - Badmotel"
"bangkok","badmotel","dup-skip","D:\Google Photos\Food 2017\Thai17-0246.jpg","Food 2017","Thai17-0246.jpg","","Bangkok - Badmotel"
"bangkok","badmotel","dup-skip","D:\Google Photos\Food 2017\Thai17-0247.jpg","Food 2017","Thai17-0247.jpg","","Bangkok - Badmotel"
"bangkok","le-reve","dup-skip","D:\Google Photos\Food 2017\Thai17-0248.jpg","Food 2017","Thai17-0248.jpg","","Bangkok - Le Rêve"
"bangkok","le-reve","dup-skip","D:\Google Photos\Food 2017\Thai17-0249.jpg","Food 2017","Thai17-0249.jpg","","Bangkok - Le Rêve"
"bangkok","petit-peyton","dup-skip","D:\Google Photos\Food 2019\Thai19-0003.jpg","Food 2019","Thai19-0003.jpg","","Bangkok - Petit Peyton"
"bangkok","petit-peyton","dup-skip","D:\Google Photos\Food 2022\Thai22-0102.jpg","Food 2022","Thai22-0102.jpg","","Bangkok - Petit Peyton"
"bangkok","krua-apsorn","dup-skip","D:\Google Photos\Food 2019\Thai19-0006.jpg","Food 2019","Thai19-0006.jpg","","Bangkok - Krua Apsorn"
"bangkok","krua-apsorn","dup-skip","D:\Google Photos\Food 2019\Thai19-0007.jpg","Food 2019","Thai19-0007.jpg","","Bangkok - Krua Apsorn"
"bangkok","krua-apsorn","dup-skip","D:\Google Photos\Food 2019\Thai19-0008.jpg","Food 2019","Thai19-0008.jpg","","Bangkok - Krua Apsorn"
"bangkok","krua-apsorn","dup-skip","D:\Google Photos\Food 2019\Thai19-0009.jpg","Food 2019","Thai19-0009.jpg","","Bangkok - Krua Apsorn"
"bangkok","krua-apsorn","dup-skip","D:\Google Photos\Food 2019\Thai19-0326.jpg","Food 2019","Thai19-0326.jpg","","Bangkok - Krua Apsorn"
"bangkok","krua-apsorn","dup-skip","D:\Google Photos\Food 2019\Thai19-0327.jpg","Food 2019","Thai19-0327.jpg","","Bangkok - Krua Apsorn"
"bangkok","krua-apsorn","dup-skip","D:\Google Photos\Food 2019\Thai19-0328.jpg","Food 2019","Thai19-0328.jpg","","Bangkok - Krua Apsorn"
"bangkok","krua-porn-la-mai","dup-skip","D:\Google Photos\Food 2019\Thai19-0070.jpg","Food 2019","Thai19-0070.jpg","","Bangkok  - Krua Porn La Mai"
"bangkok","krua-porn-la-mai","dup-skip","D:\Google Photos\Food 2019\Thai19-0071.jpg","Food 2019","Thai19-0071.jpg","","Bangkok  - Krua Porn La Mai"
"bangkok","krua-porn-la-mai","dup-skip","D:\Google Photos\Food 2019\Thai19-0072.jpg","Food 2019","Thai19-0072.jpg","","Bangkok  - Krua Porn La Mai"
"bangkok","gastro-kafe","import","D:\Google Photos\Food 2019\Thai19-0197.jpg","Food 2019","Thai19-0197.jpg","gastro-kafe-5.jpg","Bangkok - Gastro Kafe"
"bangkok","gastro-kafe","import","D:\Google Photos\Food 2019\Thai19-0198.jpg","Food 2019","Thai19-0198.jpg","gastro-kafe-6.jpg","Bangkok - Gastro Kafe"
"bangkok","gastro-kafe","dup-skip","D:\Google Photos\Food 2022\Thai22-0111.jpg","Food 2022","Thai22-0111.jpg","","Bangkok - Gastro Kafe"
"bangkok","gastro-kafe","dup-skip","D:\Google Photos\Food 2022\Thai22-0114.jpg","Food 2022","Thai22-0114.jpg","","Bangkok - Gastro Kafe"
"bangkok","gastro-kafe","dup-skip","D:\Google Photos\Food 2024\TH24-0052.jpg","Food 2024","TH24-0052.jpg","","Bangkok - Gastro Kafe"
"bangkok","gastro-kafe","dup-skip","D:\Google Photos\Food 2024\TH24-0292.jpg","Food 2024","TH24-0292.jpg","","Bangkok - Gastro Kafe"
"bangkok","baan-glang-soi","import","D:\Google Photos\Food 2019\Thai19-0345.jpg","Food 2019","Thai19-0345.jpg","baan-glang-soi-4.jpg","Bangkok - Baan Glang Soi"
